p,k,trials,g_mean,g_median,g_std,g_min,g_max,ratio_over_sqrtp_lnp,ratio_over_half_sqrtp_lnp,ratio_over_sqrtp,theory_lovasz_stein,sqrtp_lnp
101,10,200,15.550000,16,0.712390,14,18,0.335264,0.670528,1.547283,33.356109,46.381387
199,14,150,23.860000,24,0.748599,22,26,0.319534,0.639068,1.691391,51.726601,74.671254
401,20,100,36.770000,37,0.822861,34,39,0.306343,0.612685,1.836206,80.114432,120.028984
599,24,80,47.725000,48,0.948354,45,49,0.304912,0.609824,1.949991,104.277260,156.520680
797,28,80,56.537500,57,0.907521,54,58,0.299761,0.599522,2.002661,123.313107,188.608467
997,31,60,65.416667,65,0.899846,64,67,0.300049,0.600099,2.071767,142.602750,218.019624
1999,44,40,100.125000,100,1.076743,97,102,0.294645,0.589291,2.239423,217.354434,339.815340
4003,63,25,152.000000,152,1.200000,150,155,0.289631,0.579262,2.402430,326.793148,524.805866
5003,70,25,175.200000,175,1.264911,172,178,0.290798,0.581596,2.476959,375.117453,602.479582
10007,100,12,263.500000,263,1.190238,262,267,0.285970,0.571939,2.634078,560.909381,921.426343
20011,141,8,402.875000,403,1.165922,401,405,0.287557,0.575114,2.847973,844.259817,1401.027525
