step,covered_frac
1,0.014092
2,0.021138
3,0.028184
4,0.035231
5,0.042277
6,0.049323
7,0.056369
8,0.063415
9,0.070411
10,0.077407
11,0.084404
12,0.091350
13,0.098296
14,0.105192
15,0.112038
16,0.118885
17,0.125731
18,0.132477
19,0.139223
20,0.145920
21,0.152616
22,0.159312
23,0.165909
24,0.172505
25,0.179002
26,0.185498
27,0.191944
28,0.198391
29,0.204787
30,0.211134
31,0.217430
32,0.223677
33,0.229924
34,0.236170
35,0.242317
36,0.248413
37,0.254460
38,0.260507
39,0.266553
40,0.272550
41,0.278497
42,0.284444
43,0.290340
44,0.296187
45,0.302034
46,0.307781
47,0.313528
48,0.319174
49,0.324821
50,0.330418
51,0.335965
52,0.341512
53,0.347059
54,0.352506
55,0.357903
56,0.363250
57,0.368597
58,0.373944
59,0.379241
60,0.384489
61,0.389736
62,0.394933
63,0.400130
64,0.405277
65,0.410324
66,0.415372
67,0.420369
68,0.425366
69,0.430363
70,0.435261
71,0.440158
72,0.445055
73,0.449903
74,0.454700
75,0.459497
76,0.464195
77,0.468842
78,0.473490
79,0.478087
80,0.482685
81,0.487232
82,0.491780
83,0.496327
84,0.500825
85,0.505322
86,0.509720
87,0.514117
88,0.518515
89,0.522862
90,0.527160
91,0.531458
92,0.535755
93,0.540053
94,0.544251
95,0.548398
96,0.552546
97,0.556694
98,0.560742
99,0.564789
100,0.568837
101,0.572785
102,0.576733
103,0.580631
104,0.584529
105,0.588326
106,0.592124
107,0.595922
108,0.599670
109,0.603418
110,0.607116
111,0.610764
112,0.614412
113,0.618060
114,0.621658
115,0.625256
116,0.628854
117,0.632402
118,0.635950
119,0.639398
120,0.642846
121,0.646245
122,0.649593
123,0.652941
124,0.656289
125,0.659587
126,0.662835
127,0.666084
128,0.669282
129,0.672480
130,0.675628
131,0.678777
132,0.681925
133,0.685023
134,0.688072
135,0.691120
136,0.694168
137,0.697167
138,0.700165
139,0.703163
140,0.706162
141,0.709060
142,0.711958
143,0.714857
144,0.717755
145,0.720604
146,0.723402
147,0.726201
148,0.728999
149,0.731748
150,0.734496
151,0.737245
152,0.739943
153,0.742592
154,0.745240
155,0.747889
156,0.750537
157,0.753136
158,0.755734
159,0.758283
160,0.760832
161,0.763330
162,0.765829
163,0.768327
164,0.770776
165,0.773225
166,0.775673
167,0.778072
168,0.780471
169,0.782819
170,0.785118
171,0.787417
172,0.789716
173,0.792014
174,0.794313
175,0.796512
176,0.798711
177,0.800909
178,0.803108
179,0.805307
180,0.807456
181,0.809555
182,0.811654
183,0.813752
184,0.815801
185,0.817850
186,0.819899
187,0.821948
188,0.823947
189,0.825946
190,0.827895
191,0.829844
192,0.831743
193,0.833641
194,0.835490
195,0.837339
196,0.839188
197,0.841037
198,0.842836
199,0.844635
200,0.846384
201,0.848134
202,0.849883
203,0.851632
204,0.853331
205,0.855030
206,0.856729
207,0.858378
208,0.860027
209,0.861676
210,0.863325
211,0.864924
212,0.866523
213,0.868123
214,0.869722
215,0.871271
216,0.872820
217,0.874369
218,0.875918
219,0.877417
220,0.878917
221,0.880416
222,0.881915
223,0.883414
224,0.884863
225,0.886313
226,0.887712
227,0.889111
228,0.890510
229,0.891909
230,0.893309
231,0.894658
232,0.896007
233,0.897356
234,0.898656
235,0.899955
236,0.901254
237,0.902554
238,0.903803
239,0.905052
240,0.906302
241,0.907551
242,0.908750
243,0.909950
244,0.911149
245,0.912348
246,0.913548
247,0.914747
248,0.915896
249,0.917046
250,0.918195
251,0.919344
