p,c,n_trials,freq_success,pred_gumbel,pred_poisson_zero
101,-3,400,0.000000,0.000000,0.000000
101,-2,400,0.002500,0.000618,0.000618
101,-1,400,0.130000,0.065988,0.065988
101,0,400,0.482500,0.367879,0.367879
101,1,400,0.795000,0.692201,0.692201
101,2,400,0.905000,0.873423,0.873423
101,3,400,0.975000,0.951432,0.951432
199,-3,400,0.000000,0.000000,0.000000
199,-2,400,0.005000,0.000618,0.000618
199,-1,400,0.120000,0.065988,0.065988
199,0,400,0.445000,0.367879,0.367879
199,1,400,0.765000,0.692201,0.692201
199,2,400,0.882500,0.873423,0.873423
199,3,400,0.960000,0.951432,0.951432
401,-3,400,0.000000,0.000000,0.000000
401,-2,400,0.000000,0.000618,0.000618
401,-1,400,0.127500,0.065988,0.065988
401,0,400,0.457500,0.367879,0.367879
401,1,400,0.780000,0.692201,0.692201
401,2,400,0.915000,0.873423,0.873423
401,3,400,0.952500,0.951432,0.951432
599,-3,400,0.000000,0.000000,0.000000
599,-2,400,0.000000,0.000618,0.000618
599,-1,400,0.067500,0.065988,0.065988
599,0,400,0.395000,0.367879,0.367879
599,1,400,0.715000,0.692201,0.692201
599,2,400,0.890000,0.873423,0.873423
599,3,400,0.937500,0.951432,0.951432
797,-3,400,0.000000,0.000000,0.000000
797,-2,400,0.000000,0.000618,0.000618
797,-1,400,0.087500,0.065988,0.065988
797,0,400,0.397500,0.367879,0.367879
797,1,400,0.692500,0.692201,0.692201
797,2,400,0.877500,0.873423,0.873423
797,3,400,0.962500,0.951432,0.951432
997,-3,400,0.000000,0.000000,0.000000
997,-2,400,0.000000,0.000618,0.000618
997,-1,400,0.062500,0.065988,0.065988
997,0,400,0.360000,0.367879,0.367879
997,1,400,0.690000,0.692201,0.692201
997,2,400,0.865000,0.873423,0.873423
997,3,400,0.952500,0.951432,0.951432
1999,-3,150,0.000000,0.000000,0.000000
1999,-2,150,0.000000,0.000618,0.000618
1999,-1,150,0.066667,0.065988,0.065988
1999,0,150,0.366667,0.367879,0.367879
1999,1,150,0.680000,0.692201,0.692201
1999,2,150,0.786667,0.873423,0.873423
1999,3,150,0.866667,0.951432,0.951432
4003,-3,150,0.000000,0.000000,0.000000
4003,-2,150,0.000000,0.000618,0.000618
4003,-1,150,0.066667,0.065988,0.065988
4003,0,150,0.433333,0.367879,0.367879
4003,1,150,0.686667,0.692201,0.692201
4003,2,150,0.873333,0.873423,0.873423
4003,3,150,0.933333,0.951432,0.951432
5003,-3,150,0.000000,0.000000,0.000000
5003,-2,150,0.000000,0.000618,0.000618
5003,-1,150,0.093333,0.065988,0.065988
5003,0,150,0.446667,0.367879,0.367879
5003,1,150,0.740000,0.692201,0.692201
5003,2,150,0.900000,0.873423,0.873423
5003,3,150,0.960000,0.951432,0.951432
10007,-3,50,0.000000,0.000000,0.000000
10007,-2,50,0.000000,0.000618,0.000618
10007,-1,50,0.020000,0.065988,0.065988
10007,0,50,0.440000,0.367879,0.367879
10007,1,50,0.700000,0.692201,0.692201
10007,2,50,0.920000,0.873423,0.873423
10007,3,50,0.980000,0.951432,0.951432
20011,-3,50,0.000000,0.000000,0.000000
20011,-2,50,0.000000,0.000618,0.000618
20011,-1,50,0.120000,0.065988,0.065988
20011,0,50,0.500000,0.367879,0.367879
20011,1,50,0.780000,0.692201,0.692201
20011,2,50,0.920000,0.873423,0.873423
20011,3,50,0.960000,0.951432,0.951432
