p,k,trials,m_mean,m_std,m_median,m_min,m_max,flag_count,ratio_mean_over_sqrtp_lnp,theory_sqrtp_lnp,sqrtp
101,10,400,49.705000,11.738099,48,27,89,0,1.071658,46.381387,10.049876
199,14,400,80.637500,18.986998,77,45,174,1,1.079900,74.671254,14.106736
401,20,400,128.307500,27.297948,124,86,261,1,1.068971,120.028984,20.024984
599,24,400,170.925000,33.049726,165,119,324,0,1.092028,156.520680,24.474477
797,28,400,203.965000,35.594786,199,141,378,0,1.081420,188.608467,28.231188
997,31,400,237.667500,40.021269,231,159,440,1,1.090120,218.019624,31.575307
1999,44,150,374.960000,69.875592,356,261,609,0,1.103423,339.815340,44.710178
4003,63,150,563.913333,93.004655,542,428,968,1,1.074518,524.805866,63.269266
5003,70,150,631.753333,94.557914,617,490,1098,1,1.048589,602.479582,70.731888
10007,100,50,964.620000,107.480955,937,778,1254,0,1.046877,921.426343,100.034994
20011,141,50,1435.620000,168.784228,1403,1175,1931,0,1.024691,1401.027525,141.460242
