p,c,m_used,mean_X,var_X,freq_X_eq_0,pred_mean_exp_neg_c,pred_gumbel
101,0,46,0.900000,0.910000,0.410000,1.000000,0.367879
101,1,56,0.323333,0.278789,0.706667,0.367879,0.692201
101,2,66,0.136667,0.144656,0.876667,0.135335,0.873423
199,0,75,0.760000,0.762400,0.470000,1.000000,0.367879
199,1,89,0.303333,0.297989,0.736667,0.367879,0.692201
199,2,103,0.136667,0.144656,0.876667,0.135335,0.873423
401,0,120,0.870000,0.953100,0.450000,1.000000,0.367879
401,1,140,0.300000,0.270000,0.730000,0.367879,0.692201
401,2,160,0.116667,0.116389,0.890000,0.135335,0.873423
599,0,157,0.953333,0.837822,0.370000,1.000000,0.367879
599,1,181,0.376667,0.468122,0.706667,0.367879,0.692201
599,2,205,0.153333,0.169822,0.863333,0.135335,0.873423
797,0,189,0.943333,1.153456,0.423333,1.000000,0.367879
797,1,217,0.360000,0.350400,0.696667,0.367879,0.692201
797,2,245,0.133333,0.128889,0.873333,0.135335,0.873423
997,0,218,0.976667,0.976122,0.376667,1.000000,0.367879
997,1,250,0.390000,0.331233,0.653333,0.367879,0.692201
997,2,281,0.150000,0.187500,0.870000,0.135335,0.873423
1999,0,340,0.923333,0.837456,0.380000,1.000000,0.367879
1999,1,385,0.373333,0.373956,0.690000,0.367879,0.692201
1999,2,429,0.106667,0.115289,0.903333,0.135335,0.873423
4003,0,525,0.966667,0.918889,0.370000,1.000000,0.367879
4003,1,588,0.400000,0.393333,0.670000,0.367879,0.692201
4003,2,651,0.170000,0.167767,0.843333,0.135335,0.873423
5003,0,602,1.010000,1.043233,0.363333,1.000000,0.367879
5003,1,673,0.310000,0.300567,0.730000,0.367879,0.692201
5003,2,744,0.136667,0.137989,0.873333,0.135335,0.873423
10007,0,921,0.936667,0.832656,0.373333,1.000000,0.367879
10007,1,1021,0.340000,0.344400,0.720000,0.367879,0.692201
10007,2,1121,0.170000,0.161100,0.840000,0.135335,0.873423
20011,0,1401,1.040000,1.105067,0.376667,1.000000,0.367879
20011,1,1542,0.393333,0.358622,0.666667,0.367879,0.692201
20011,2,1684,0.130000,0.119767,0.873333,0.135335,0.873423
